Previous 1929 High,Previous 1929 Low,Stock,Sales,High,Low,Close,Previous Close
,,International Telephone & Telegraph,462,118.875,112,113.5,117
,,International Department Store,2,50.75,50.625,50.75,51.5
,,Investors Equity,21,55,55,55,55
,,Island Creek Coal,5,49,48.25,49,49
,,Jewel Tea,7,57,55.875,56,55
,,Johns-Manville,49,190,182.75,184,186.125
,,Jordan Motor Car,4,3.875,3.5,3.5,3.75
,,Kan City Sou pf,2,67,67,67,67
,,Kayser Julius,25,48.875,47.5,48,48.5
,,Kelly-Spring Tire,24,8.5,7.5,7.875,8
,,Kelsey Hayes,35,33.5,32,32,33.5
,,Kelvinator Corp,18,12,11.25,11.25,12
,,Kennecott,208,78.25,75,75,76.25
,,Kimberly Clark,4,53.25,53,53,53.25
,,Kolster Radio,32,16,15,15,15.875
,,Kraft Ph Ch,32,67.375,65.125,65.125,67.5
,,Kraft Ph Ch pf,2,101.5,101.125,101.125,101.125
,,Kresge S S,21,45,43.5,43.5,44.5
,,Kresge Dept Stores,6,16.5,16.5,16.5,16.5
,,Kress SH,1,85.125,85.125,85.125,86.75
,,Kreuger & Tol,66,36.375,35,35.25,35.625
,,Kroger Gr & Bak,31,78.25,75.875,75.875,77
,,Laclede Gas,2,227.5,225,225,232
,,Lago Oil & Transporation,2,29.625,28,28,30.125
,,Lambert Co,47,122.875,121.5,121.75,123.375
,,Lee Rubber & Tire,4,10,9.75,9.75,10
,,Leh Port Cem,1,36.25,36.25,36.25,39
,,Lehigh valley Coal,34,27,24.25,24.25,27.375
,,Lehigh Valley Coal pf,2,40.75,40.5,40.5,41
,,Lehigh valley Coal,5,81.5,81.5,81.5,83.5
,,Lehn & Fink,7,40.75,40,40.25,40.125
,,Libbey Owens,4,34.875,33.25,33.25,35
,,Liggett & My B,23,103.25,100.25,100.25,102
,,Lima Locamotive,6,42.5,40.25,40.25,45.75
,,Link Belt,3,45.25,45,45,45.25
,,Liq Carbonic,19,72.25,70,70.125,71.5
,,Loew’s Inc,7,57.625,57,57.375,59.625
,,Loft Inc,22,7.25,6.5,6.75,7.25
,,Loose-Wiles,62,68,64.5,65,70.875
,,Lorillard,60,25.5,24,24,24.75
,,Louisiana Oil,7,10.75,10.75,10.75,11
,,Louisian Gas & Electric A,65,46,42.25,43,45
,,Louis & Nash,4,141.25,141.25,141.25,143
,,Ludium Steel,11,81.5,79.25,79.25,82
,,Ludium Stl pf,1,103,103,103,103.25
,,Mac A & Forb,10,35,34,34,38.125
,,McCall Corp,1,99.75,99.25,99.25,100
,,McCrory B,2,96.5,96,95,97
,,McGraw-Hill,2,39,38.5,38.5,40
,,McKeesport T P,7,67.5,65.125,65.125,67
,,McKesson & Rob,6,41.75,40,40,42.25
,,McKes & Rb pf,3,51.25,51.25,51.25,51.125
,,McLellan Strs,3,43,41,41,45
,,Mack Trucks,30,93,90.5,91,92
,,"Macy, R. H. & Co",40,216.5,215,215,215.25
,,Madison Square Garden,14,16.875,16.125,16.125,17.25
,,Magma Copper,8,68.5,64,66,69
,,Mallinson & Co,6,14,13.25,13.25,14
,,Man Elec Supply,7,26.75,28,26,27.125
